timestamp,outdoor_temp_c,wind_speed_ms,occupancy,electricity_kwh,gas_kwh,indoor_temp_c,boiler_on,outdoor_temp_c_obs,wind_speed_ms_obs,occupancy_obs,electricity_kwh_obs,gas_kwh_obs,indoor_temp_c_obs,indoor_temp_c_z2,indoor_temp_c_z2_obs,indoor_temp_c_z2_smooth,outdoor_temp_c_smooth,indoor_temp_c_smooth
2024-01-01 00:00,6.3,5.94,1,0.0375,0.08,19.887,0,6.257,5.85,1,0.037551,0.081288,19.699,17.912,17.534,17.535,6.269,19.613
2024-01-01 00:30,6.2,6.94,1,0.0375,0.08,19.775,0,6.468,7.21,0,0.037544,0.080931,19.906,17.824,17.846,17.536,6.282,19.608
2024-01-01 01:00,6.1,7.94,1,0.0375,0.08,19.662,0,5.879,7.43,1,0.037211,0.079225,20.024,17.735,17.75,17.516,6.108,19.584
2024-01-01 01:30,6.2,8.33,1,0.0375,0.08,19.551,0,6.112,7.9,1,0.037664,0.079807,19.626,17.648,17.698,17.482,6.164,19.533
2024-01-01 02:00,6.3,8.72,1,0.0375,0.08,19.442,0,6.535,8.16,1,0.03747,0.079016,19.634,17.563,17.53,17.435,6.271,19.475
2024-01-01 02:30,6.3,9.15,1,1.2875,0.08,19.457,0,5.766,8.85,1,1.292955,0.079198,19.44,17.478,17.419,17.382,6.113,19.408
2024-01-01 03:00,6.3,9.58,1,0.0375,0.08,19.348,0,6.334,9.99,1,0.037509,0.080367,19.298,17.394,17.674,17.326,6.304,19.339
2024-01-01 03:30,6.6,9.03,1,0.0375,0.08,19.243,0,6.409,9.39,1,0.037453,0.081869,19.079,17.313,17.093,17.249,6.464,19.272
2024-01-01 04:00,6.9,8.47,1,0.0375,0.08,19.142,0,7.131,9.18,1,0.037089,0.08166,18.979,17.236,17.039,17.181,6.679,19.218
2024-01-01 04:30,6.6,8.08,1,0.0375,0.08,19.039,0,6.37,7.2,1,0.037506,0.080203,18.976,17.156,17.301,17.122,6.442,19.178
2024-01-01 05:00,6.3,7.69,1,0.0375,0.08,18.934,0,6.474,8.85,1,0.037392,0.081073,18.582,17.075,17.345,17.052,6.276,19.151
2024-01-01 05:30,6.0,7.62,1,0.0375,0.08,18.828,0,5.772,7.72,1,0.037364,0.079765,18.46,16.991,16.775,16.964,5.912,19.159
2024-01-01 06:00,5.7,7.56,1,0.0375,0.08,18.72,0,5.53,7.77,1,0.037418,0.079979,18.812,16.906,16.934,16.887,5.689,19.211
2024-01-01 06:30,5.7,7.4,1,0.0375,0.08,18.613,0,5.33,6.76,1,0.037669,0.080305,18.858,16.821,16.815,16.808,5.624,19.288
2024-01-01 07:00,5.7,7.25,1,0.0375,12.08,19.55,1,6.286,7.07,0,0.037448,11.900297,19.397,16.737,16.701,16.728,5.854,19.393
2024-01-01 07:30,5.6,7.19,1,0.995833,5.510979,20.0,1,5.508,7.0,1,0.984003,5.55016,20.111,16.657,16.547,16.65,5.652,19.496
2024-01-01 08:00,5.5,7.14,1,2.120833,0.08,20.082,0,5.312,7.14,1,2.126966,0.07951,19.906,16.58,16.37,16.578,5.593,19.562
2024-01-01 08:30,5.55,7.22,0,0.870833,0.08,20.042,0,5.842,7.91,0,0.871791,0.079032,20.219,16.504,16.505,16.519,5.816,19.605
2024-01-01 09:00,5.6,7.31,0,0.0375,0.08,19.92,0,6.285,7.45,0,0.037579,0.079402,20.303,16.429,16.575,16.461,6.013,19.611
2024-01-01 09:30,5.75,6.96,0,0.0375,0.08,19.802,0,5.87,6.89,0,0.037788,0.08057,19.812,16.356,16.252,16.396,5.938,19.573
2024-01-01 10:00,5.9,6.61,0,0.0375,0.08,19.685,0,5.526,6.71,0,0.037637,0.079397,19.744,16.285,16.527,16.34,5.93,19.52
2024-01-01 10:30,6.35,6.65,0,0.0375,0.08,19.573,0,6.325,6.32,0,0.037772,0.079965,19.35,16.218,16.31,16.272,6.327,19.454
2024-01-01 11:00,6.8,6.69,0,0.0375,0.08,19.466,0,6.955,6.94,0,0.037385,0.079695,19.48,16.155,16.23,16.202,6.727,19.393
